speed_0,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19,speed_20,speed_21,speed_22,speed_23,speed_24,speed_25,speed_26,speed_27,speed_28,speed_29,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,density_16,density_17,density_18,density_19,density_20,density_21,density_22,density_23,density_24,density_25,density_26,density_27,density_28,density_29
0.9260000000000002,5.04,7.06,5.44,4.533333333333333,4.785,5.47,8.905000000000003,9.74,9.23,9.82,1.218,4.875,5.5200000000000005,7.0,9.83,9.7,30.0,10.07,10.74,14.31,12.63,8.973333333333334,1.8400000000000003,3.1,4.949999999999998,7.195,7.1850000000000005,8.61,4.736666666666667,0.1,0.04,0.02,0.06,0.06,0.04,0.02,0.04,0.02,0.02,0.04,0.1,0.04,0.06,0.02,0.04,0.02,0.0,0.02,0.02,0.02,0.02,0.06,0.08,0.04,0.04,0.04,0.04,0.02,0.06
7.153333333333332,4.016666666666667,5.8100000000000005,6.285,7.3450000000000015,9.68,6.2700000000000005,7.463333333333334,1.0633333333333332,3.8233333333333337,5.89,30.0,9.33,9.096666666666666,7.875,6.316666666666667,8.745000000000001,1.15,2.99,2.28,4.02,6.34,6.44,30.0,6.12,6.49,10.29,12.51,12.29,6.96,0.06,0.06,0.04,0.04,0.04,0.02,0.06,0.06,0.06,0.06,0.02,0.0,0.02,0.06,0.04,0.06,0.04,0.04,0.04,0.06,0.06,0.02,0.04,0.0,0.06,0.04,0.02,0.02,0.02,0.04
10.37,9.24,2.8975,6.54,4.983333333333333,5.56,8.095,12.54,8.99,2.0,4.15,6.895,8.64,10.45,4.645,5.066666666666666,8.17,5.31,0.5142857142857143,3.4333333333333336,6.32,7.92,8.585,30.0,11.09,30.0,12.425,8.08,8.63,7.84,0.02,0.04,0.08,0.04,0.06,0.06,0.04,0.02,0.02,0.06,0.08,0.04,0.02,0.02,0.04,0.06,0.02,0.02,0.14,0.06,0.02,0.02,0.04,0.0,0.02,0.0,0.04,0.04,0.02,0.06
7.615,9.245,9.455,9.45,9.84,10.739999999999998,9.82,3.8466666666666667,7.09,8.455,7.814999999999999,7.526666666666666,9.255,30.0,5.175,5.9366666666666665,5.42,6.530000000000001,0.426,2.5025,30.0,6.925,1.805,2.5766666666666667,4.31,6.2,9.23,9.9,8.593333333333332,30.0,0.04,0.04,0.04,0.02,0.04,0.04,0.02,0.06,0.04,0.04,0.04,0.06,0.04,0.0,0.04,0.06,0.02,0.06,0.1,0.08,0.0,0.04,0.08,0.06,0.02,0.02,0.02,0.02,0.06,0.0
5.013333333333333,6.215,6.003333333333333,6.45,11.68,11.72,11.0,8.855,7.555,8.075,8.75,8.58,4.1175,5.7733333333333325,4.52,1.0725,4.62,4.835,30.0,10.15,11.65,30.0,10.62,6.5525,7.74,6.260000000000002,2.408,5.42,7.62,2.8833333333333333,0.06,0.04,0.06,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.04,0.08,0.06,0.02,0.08,0.04,0.04,0.0,0.02,0.02,0.0,0.04,0.08,0.04,0.04,0.1,0.04,0.02,0.06
8.03,30.0,12.185,12.87,10.655,7.255,5.87,5.776666666666666,7.145,1.7519999999999998,0.5175000000000001,4.0,4.29,7.47,8.78,10.67,9.06,11.83,8.83,10.96,7.326666666666665,4.91,7.8,8.52,9.83,6.785,6.22,7.3450000000000015,6.51,6.703333333333332,0.02,0.0,0.04,0.02,0.04,0.04,0.08,0.06,0.04,0.1,0.08,0.04,0.06,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.06,0.06,0.02,0.02,0.02,0.04,0.06,0.04,0.04,0.06
9.46,8.77,8.036666666666667,5.5175,7.135,30.0,10.73,9.51,8.860000000000003,11.25,8.7,0.8433333333333333,2.773333333333333,2.68,3.085,6.585,30.0,10.77,30.0,4.133333333333333,2.735,6.76,6.46,30.0,8.485,11.64,11.21,5.76,6.353333333333333,7.1000000000000005,0.02,0.02,0.06,0.08,0.04,0.0,0.02,0.02,0.06,0.02,0.02,0.12,0.06,0.06,0.04,0.04,0.0,0.02,0.0,0.06,0.08,0.04,0.06,0.0,0.04,0.04,0.02,0.04,0.06,0.06
8.53,10.6,7.415,8.71,6.79,2.12,5.36,6.69,5.7733333333333325,7.19,5.539999999999999,6.010000000000002,6.28,30.0,10.0,30.0,3.23,1.8883333333333332,2.97,5.65,1.55,5.125,5.72,9.25,30.0,9.82,2.475,4.6866666666666665,6.26,6.24,0.02,0.02,0.04,0.04,0.06,0.1,0.02,0.04,0.06,0.06,0.06,0.06,0.06,0.0,0.04,0.0,0.02,0.12,0.02,0.02,0.06,0.04,0.02,0.02,0.0,0.02,0.04,0.06,0.04,0.04
30.0,11.11,9.98,2.702,3.4466666666666668,6.43,7.2,30.0,11.64,12.42,12.95,5.7,0.43333333333333335,2.5475000000000003,5.36,3.63,4.68,10.4,7.91,6.51,9.02,5.37,7.256666666666668,7.37,0.926,4.6,9.08,7.655,6.19,6.826666666666665,0.0,0.02,0.02,0.1,0.06,0.04,0.02,0.0,0.02,0.02,0.04,0.06,0.12,0.08,0.02,0.02,0.04,0.02,0.02,0.04,0.04,0.04,0.06,0.02,0.1,0.04,0.02,0.04,0.02,0.06
8.586666666666666,8.205,9.08,8.864999999999998,7.136666666666668,6.3500000000000005,5.19,6.37,4.5,4.48,7.68,8.219999999999999,9.06,9.235,30.0,1.4433333333333334,3.97,4.26,9.39,10.08,9.94,8.405000000000001,7.84,10.125,30.0,12.42,7.49,6.710000000000001,10.365,30.0,0.06,0.04,0.02,0.04,0.06,0.06,0.08,0.06,0.04,0.04,0.02,0.06,0.02,0.04,0.0,0.12,0.06,0.02,0.02,0.04,0.02,0.04,0.06,0.04,0.0,0.02,0.02,0.06,0.04,0.0
